gts 0.7.6.121130-2
guile 2.2.7-2
gwenview 21.08.2-1
gzip 1.11-1
harfbuzz 3.0.0-1
harfbuzz-icu 3.0.0-1
helm 3.7.1-1
hicolor-icon-theme 0.17-2
hidapi 0.11.0-1
htop 3.1.1-1
http-parser 2.9.4-1
hunspell 1.7.0-3
hwids 20210613-1
hwloc 2.5.0-1
hyphen 2.8.8-3
hyphen-en 2.8.8-3
i3-wm 4.20-1
i3status 2.13-3
iana-etc 20210903-1
ibus 1.5.25-3
icu 69.1-1
ijs 0.35-3
imath 3.1.3-1
imlib2 1.7.4-1
intltool 0.51.0-6
iproute2 5.14.0-1
iptables 1:1.8.7-1
iputils 20210722-1
ipython 7.28.0-1
iso-codes 4.7.0-1
itstool 1:2.0.6-2
jack2 1.9.19-2
jansson 2.14-1
jasper 2.0.33-1
java-runtime-common 3-3
jbig2dec 0.19-1
jemalloc 1:5.2.1-5
jq 1.6-4
jre-openjdk 17.u35-1
jre-openjdk-headless 17.u35-1
js78 78.15.0-1
json-c 0.15-1
json-glib 1.6.6-1
jsoncpp 1.9.4-1
jupyter 4.6.3-2
jupyter-nbclassic 0.3.3-1
jupyter-nbclient 0.5.4-1
jupyter-nbconvert 6.1.0-1
jupyter-nbformat 5.1.3-1
jupyter-notebook 6.4.4-1
jupyter-server 1.11.1-1
jupyter-widgetsnbextension 1:3.5.1-3
jupyter_console 6.4.0-1
jupyterlab 3.2.1-1
jupyterlab_pygments 0.1.2-2
jxrlib 0.2.1-3
kaccounts-integration 21.08.2-1
kactivities 5.87.0-1
kactivities-stats 5.87.0-1
karchive 5.87.0-1
kauth 5.87.0-1
kbd 2.4.0-2
kbookmarks 5.87.0-1
kcmutils 5.87.0-1
kcodecs 5.87.0-1
kcompletion 5.87.0-1
kconfig 5.87.0-1
kconfigwidgets 5.87.0-1
kcoreaddons 5.87.0-1
kcrash 5.87.0-1
kdbusaddons 5.87.0-1
kde-gtk-config 5.23.1-1
kdeclarative 5.87.0-1
kdecoration 5.23.1-1
kded 5.87.0-1
kdnssd 5.87.0-1
kdsoap 2.0.0-1
kdsoap-ws-discovery-client git20200927-2
keyutils 1.6.3-1
kfilemetadata 5.87.0-1
kglobalaccel 5.87.0-1
kguiaddons 5.87.0-1
ki18n 5.87.0-1
kiconthemes 5.87.0-1
kidletime 5.87.0-1
kio 5.87.0-1
kio-extras 21.08.2-1
kirigami2 5.87.0-1
kitemmodels 5.87.0-1
kitemviews 5.87.0-1
kjobwidgets 5.87.0-1
kjs 5.87.0-1
kmod 29-1
knewstuff 5.87.0-1
knotifications 5.87.0-1
knotifyconfig 5.87.0-1
kompose 1.24.0-1
konsole 21.08.2-1
kpackage 5.87.0-1
kparts 5.87.0-1
kpty 5.87.0-1
krb5 1.19.2-1
kservice 5.87.0-1
ktextwidgets 5.87.0-1
kubectl 1.22.2-1
kuserfeedback 1.0.0-1
kvantum-qt5 0.20.2-2
kwallet 5.87.0-1
kwayland 5.87.0-1
kwidgetsaddons 5.87.0-1
kwindowsystem 5.87.0-1
kxmlgui 5.87.0-1
l-smash 2.14.5-2
ladspa 1.17-1
lame 3.100-3
lapack 3.10.0-1
lcms2 2.12-1
ldb 2:2.4.0-1
